id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet,sentiment,sentiment_category
1340539111971516416,Rachel Roh,"La Crescenta-Montrose, CA","Aggregator of Asian American news; scanning diverse sources 24/7/365. RT's, Follows and 'Likes' will fuel me 👩‍💻",2009-04-08 17:52:46,405,1692,3247,False,2020-12-20 06:06:44,folks said daikon paste could treat cytokine storm,['PfizerBioNTech'],Twitter for Android,0,0,False,0.4019,positive
1337858199140118533,eli🇱🇹🇪🇺👌,Your Bed,"heil, hydra 🖐☺",2020-06-25 23:30:28,10,88,155,False,2020-12-12 20:33:45,Russian vaccine created last 2-4 years…,"['coronavirus', 'SputnikV', 'AstraZeneca', 'PfizerBioNTech', 'Moderna', 'Covid_19']",Twitter for Android,0,0,False,0.25,positive
1337851215875608579,Gunther Fehlinger,"Austria, Ukraine and Kosovo","End North Stream 2 now - the pipeline of corruption, funding Russias war against Ukraine,Georgia, Syria and political intervention in USA and EU must be stopped",2013-06-10 17:49:22,2731,5001,69344,False,2020-12-12 20:06:00,"bit sad claim fame success patriotic competition USA, Canada, UK and…",['vaccination'],Twitter Web App,0,4,False,0.5423,positive
1337842295857623042,Ch.Amjad Ali,Islamabad,"#ProudPakistani #LovePakArmy #PMIK @insafianspower1
#PoliticalScience #InternationalAffairs 
#PAKUSTV #Newyork #Islamabad",2012-11-12 04:18:12,671,2368,20469,False,2020-12-12 19:30:33,"States start getting Monday, says","['CovidVaccine', 'COVID19Vaccine', 'US', 'pakustv', 'NYC', 'Healthcare', 'GlobalGoals']",Twitter Web App,0,0,False,0.0,neutral
1337841934170255365,Tamer Yazar,Turkey-Israel,"Im Market Analyst, also Editor... working (freelance) for some companies that need analysis for their products in Int. Markets 
- Instagram :  tamervisits -",2009-09-17 16:45:16,1302,78,339,False,2020-12-12 19:29:07,"deaths closing 300,000 mark... millions people wait ! - first U…","['PfizerBioNTech', 'Vaccine']",Twitter Web App,0,0,False,0.0,neutral
1337789467038523394,City A.M.,"London, England","London's business newspaper - News, Opinion, and Analysis. For all distribution queries, see @CityAMDist.",2009-06-09 13:53:06,66224,603,771,True,2020-12-12 16:00:38,Trump announces rollout 'in less 24 hours' first Americans vaccinated against…,['vaccine'],Twitter for iPhone,0,1,False,0.0,neutral
1337789191598575616,STOPCOMMONPASS.ORG,Global,"'Trust' is not carte-blanche for erosion of our liberty, privacy, & the pursuit of global control.",2020-10-25 20:33:33,406,176,479,False,2020-12-12 15:59:32,UPDATED: &amp; - Part Two,"['YellowFever', 'COVID19', 'ImmunityPassports', 'SARSCoV2', 'PfizerBioNtech', 'Britain', 'December']",Twitter Web App,2,2,False,0.0,neutral
1337783770070409218,ILKHA,Türkiye,Official Twitter account of Ilke News Agency /,2015-05-22 08:31:12,4056,6,3,True,2020-12-12 15:38:00,"Coronavirus: Iran reports 8,201 new cases, 221 deaths last 24 hours","['Iran', 'coronavirus', 'PfizerBioNTech']",TweetDeck,3,5,False,0.0,neutral
1337781178665816064,Braderz73🌹#GTTO 🇪🇺 🇬🇧,"Bristol, UK","One of those lefty types, I believe in a fairer future for all. I also luv throwin' myself down steep trails on my MTB! Ex-Labour.

#DisabilityRights",2012-07-24 08:18:51,6430,6292,45007,False,2020-12-12 15:27:42,. rake billions expensive refuses cut price lowe…,['CovidVaccine'],Twitter for Android,3,3,False,-0.2732,negative
1337776763384958976,Alex Vie,"Los Angeles, CA",Marine vet. Yogi. Krav Maga. Runner. Climber. Cyclist. 📷: artificer.vx 👻: QxGambit,2010-01-24 04:43:57,125,442,5401,False,2020-12-12 15:10:09,"trump administration failed deliver vaccine promises, *shocker*","['COVIDIOTS', 'coronavirus', 'CovidVaccine']",Twitter for iPhone,0,0,False,-0.1779,negative
1337774059237629952,"Richard Dunne, MD","Rochester, NY","Husband, Girl Dad, GI Oncologist @wilmotcancer w/ research focus in #cachexia, weight loss, #pancreaticcancer & love of sport, @notredame alum, tweets my own",2012-04-23 12:18:55,1982,608,9110,False,2020-12-12 14:59:25,Anyone wondering day approval UK people getting vaccinated tol…,['PfizerBioNTech'],Twitter for iPhone,0,2,False,0.4767,positive
1337773965595598848,City A.M.,"London, England","London's business newspaper - News, Opinion, and Analysis. For all distribution queries, see @CityAMDist.",2009-06-09 13:53:06,66224,603,771,True,2020-12-12 14:59:02,Trump announces rollout 'in less 24 hours' first Americans vaccinated against…,['vaccine'],Buffer,1,0,False,0.0,neutral
1337770118017900550,Devan Surendran,"Nottingham, England","NHS Doctor | Singer | Travel, nature and dog lover!",2010-01-16 23:59:43,116,86,268,False,2020-12-12 14:43:45,No.1 2 done. making dream poss…,"['ThankYouNHS', 'PfizerBioNTech', 'CovidVaccine']",Twitter Web App,1,10,False,0.25,positive
1337769867676704770,Tamer Yazar,Turkey-Israel,"Im Market Analyst, also Editor... working (freelance) for some companies that need analysis for their products in Int. Markets 
- Instagram :  tamervisits -",2009-09-17 16:45:16,1302,78,339,False,2020-12-12 14:42:45,"Wear mask, wash hands, remain socially distant possible.","['stayhome', 'StayAtHome', 'StayAtHomeSaveLives']",Twitter Web App,0,0,False,0.0,neutral
1337769507402768384,Michael Finn,"Crete, Greece","Hellenic National Healthcare, Agios Nikolaos General Hospital, bassist & guitarist    e-mail:finnmike@ymail.com",2011-10-17 19:03:34,151,235,838,False,2020-12-12 14:41:19,⁦ approval Apprentice Style! ⁦ “Approve you…,"['PfizerBioNTech', 'FDA', 'vaccine']",Twitter for iPad,0,0,False,0.5255,positive
1337765770420506625,Emiliano Pacelli,"Rome, Italy",#IBMCloud and #AIApplications passionate helping companies #B2BCollaboration and #SupplyChain innovation. Retweets/likes aren't endorsements.Opinion are my owns,2019-07-29 20:03:23,75,291,685,False,2020-12-12 14:26:28,Interesting detailed article showing well tested help d…,"['supplychain', 'sharedvisibility']",Twitter for iPad,0,0,False,0.7579,positive
1337761915087560707,🦑Dr. Kraken-Elect Lipstick 💋,Not Today ,Married. National news investigative/independent contributor #StandWithIsrael #StandWithTrump #BackTheBlue 👉🏼On PARLER @LipstickPrime 🚫 DM’s for tips only.,2011-06-01 17:10:58,5166,5228,19389,False,2020-12-12 14:11:09,💉 COVID-19 belong…,"['Vaccine', 'TrumpVaccine', 'AstraZeneca', 'PfizerBioNTech', 'Pfizervaccine', 'PfizerCovidVaccine', 'Pfizer']",Twitter for iPhone,0,0,False,0.0,neutral
1337760271151063040,Andy Thomas,London,Retweets not necessarily endorsements.,2009-03-07 20:39:15,1151,4301,95963,False,2020-12-12 14:04:37,"6 deaths far. death, nothing worry 🤔","['CovidVaccines', 'Pfizervaccine']",Twitter for Android,0,2,False,-0.3599,negative
